tempID	AnalyteName	CAS No.	Volatility	ABS Category	AbsID
38	"Arsenic, Inorganic"	7440-38-2	NV	Arsenic	10
39	Arsine	7784-42-1	NV	Undefined	1
40	Asulam	3337-71-1	NV	Other Organic Chemicals	8
41	Atrazine	1912-24-9	NV	Other Organic Chemicals	8
42	Auramine	492-80-8	NV	Other Organic Chemicals	8
43	Avermectin B1	65195-55-3	NV	Other Organic Chemicals	8
44	Azinphos-methyl	86-50-0	NV	Organophosphates	4
45	Azobenzene	103-33-3	V	Undefined	1
46	Azodicarbonamide	123-77-3	NV	Other Organic Chemicals	8
47	Barium	7440-39-3	NV	Other metals and complexed cyanides	12
48	Barium Chromate	10294-40-3	NV	Other metals and complexed cyanides	12
49	Benfluralin	1861-40-1	V	Undefined	1
50	Benomyl	17804-35-2	NV	Other Organic Chemicals	8
51	Bensulfuron-methyl	83055-99-6	NV	Other Organic Chemicals	8
52	Bentazon	25057-89-0	NV	Other Organic Chemicals	8
53	Benzaldehyde	100-52-7	V	Undefined	1
54	Benzene	71-43-2	V	Undefined	1
55	"Benzenediamine-2-methyl sulfate, 1,4-"	6369-59-1	NV	Other Organic Chemicals	8
56	Benzenethiol	108-98-5	V	Undefined	1
57	Benzidine	92-87-5	NV	Other Organic Chemicals	8
58	Benzoic Acid	65-85-0	NV	Other Organic Chemicals	8
59	Benzotrichloride	98-07-7	V	Undefined	1
60	Benzyl Alcohol	100-51-6	NV	Other Organic Chemicals	8
61	Benzyl Chloride	100-44-7	V	Undefined	1
62	Beryllium and compounds	7440-41-7	NV	Other metals and complexed cyanides	12
63	Bifenox	42576-02-3	NV	Other Organic Chemicals	8
64	Biphenthrin	82657-04-3	NV	Other Organic Chemicals	8
65	"Biphenyl, 1,1'-"	92-52-4	V	Undefined	1
66	Bis(2-chloro-1-methylethyl) ether	108-60-1	V	Undefined	1
67	Bis(2-chloroethoxy)methane	111-91-1	NV	Other Organic Chemicals	8
68	Bis(2-chloroethyl)ether	111-44-4	V	Undefined	1
69	Bis(chloromethyl)ether	542-88-1	V	Undefined	1
70	Bisphenol A	80-05-7	NV	Other Organic Chemicals	8
71	Boron And Borates Only	7440-42-8	NV	Other metals and complexed cyanides	12
72	Boron Trichloride	10294-34-5	V	Other metals and complexed cyanides	12
73	Boron Trifluoride	7637-07-2	V	Other metals and complexed cyanides	12
74	Bromate	15541-45-4	NV	Undefined	1
75	"Bromo-2-chloroethane, 1-"	107-04-0	V	Undefined	1
76	Bromobenzene	108-86-1	V	Undefined	1
77	Bromochloromethane	74-97-5	V	Undefined	1
78	Bromodichloromethane	75-27-4	V	Undefined	1
79	Bromoform	75-25-2	V	Undefined	1
80	Bromomethane	74-83-9	V	Undefined	1
81	Bromophos	2104-96-3	V	Undefined	1
82	Bromoxynil	1689-84-5	NV	Other Organic Chemicals	8
83	Bromoxynil Octanoate	1689-99-2	V	Undefined	1
84	"Butadiene, 1,3-"	106-99-0	V	Undefined	1
85	"Butanoic acid, 4-(2,4-dichlorophenoxy)-"	94-82-6	NV	Other Organic Chemicals	8
86	"Butanol, N-"	71-36-3	V	Undefined	1
87	"Butyl alcohol, sec-"	78-92-2	V	Undefined	1
88	Butylate	2008-41-5	V	Undefined	1
89	Butylated hydroxyanisole	25013-16-5	NV	Other Organic Chemicals	8
90	Butylated hydroxytoluene	128-37-0	NV	Other Organic Chemicals	8
91	"Butylbenzene, n-"	104-51-8	V	Undefined	1
92	"Butylbenzene, sec-"	135-98-8	V	Undefined	1
93	"Butylbenzene, tert-"	98-06-6	V	Undefined	1
94	Cacodylic Acid	75-60-5	NV	Other Organic Chemicals	8
95	Cadmium (Diet)	7440-43-9 (diet)	NV	Cadmium	9
96	Cadmium (Water)	7440-43-9 (water)	NV	Cadmium	9
97	Calcium Chromate	13765-19-0	NV	Other metals and complexed cyanides	12
98	Caprolactam	105-60-2	NV	Other Organic Chemicals	8
99	Captafol	2425-06-1	NV	Other Organic Chemicals	8
100	Captan	133-06-2	NV	Other Organic Chemicals	8
101	Carbaryl	63-25-2	NV	Other Organic Chemicals	8
102	Carbofuran	1563-66-2	NV	Other Organic Chemicals	8
103	Carbon Disulfide	75-15-0	V	Undefined	1
104	Carbon Tetrachloride	56-23-5	V	Undefined	1
105	Carbonyl Sulfide	463-58-1	V	Undefined	1
106	Carbosulfan	55285-14-8	NV	Other Organic Chemicals	8
107	Carboxin	5234-68-4	NV	Other Organic Chemicals	8
108	Ceric oxide	1306-38-3	NV	Undefined	1
109	Chloral Hydrate	302-17-0	V	Undefined	1
110	Chloramben	133-90-4	NV	Other Organic Chemicals	8
111	Chloranil	118-75-2	NV	Other Organic Chemicals	8
112	Chlordane	12789-03-6	V	Chlorinated Insecticides	2
113	Chlordecone (Kepone)	143-50-0	NV	Other Organic Chemicals	8
114	Chlorfenvinphos	470-90-6	NV	Other Organic Chemicals	8
